OBJECTID,NAME,TYPE,LABEL,COG,SCHOOLD,CONGDIST,FIPS,REGION,ACRES,SQMI,MUNICODE,CNTL_ID,CNTYCOUNCIL,EOC,ASSESSORTERRITORY,VALUATIONAREA,YEARCONVERTED,GlobalID,SHAPE_Length,SHAPE_Area
5337,DRAVOSBURG,BOROUGH,Dravosburg Borough,Steel Rivers,McKeesport Area,18,19856,MV,685.87915039,1.07168626,820,003140,9,Mon-Valley,South,Mon Valley,1964,{2015CABD-1C4F-40CB-8501-BC2DD491C49C},25207.7003632337,29561155.5418953
5344,MCKEESPORT,CITY,McKeesport,Steel Rivers,McKeesport Area,18,46256,MV,3468.84692382,5.4200735,400,003330,9,Mon-Valley,South,Mon Valley,1973,{854A0310-19C4-461D-A6B5-612B47367FC4},73553.2418243208,-151721371.340944
5356,PORT VUE,BOROUGH,Port Vue Borough,Steel Rivers,South Allegheny,18,62320,MV,748.59301757,1.16967654,848,003450,9,Mon-Valley,South,Mon Valley,1974,{5CFF2331-42BD-4BD5-A57A-F6D74AC0F739},23202.5013982158,32488535.5743251
5367,GLASSPORT,BOROUGH,Glassport Borough,Steel Rivers,South Allegheny,18,29432,MV,1148.58312988,1.79466092,829,003230,9,Mon-Valley,South,Mon Valley,1974,{B5A8AD29-2016-4AA9-B1E0-8E5C780D6521},33304.7909787949,49827250.0622134
5373,DUQUESNE,CITY,Duquesne,Steel Rivers,Duquesne City,18,20432,MV,1315.8885498,2.05607652,300,003145,9,Mon-Valley,South,Mon Valley,1963,{81C2196E-427F-49E5-B1D4-D9FAD837B9EC},33262.9138180281,56149182.9211094
5736,LIBERTY,BOROUGH,Liberty Borough,Steel Rivers,South Allegheny,18,43064,MV,943.39855957,1.47406029,837,003310,9,Mon-Valley,South,Mon Valley,1977,{FE592E52-219D-46F1-9221-0B4DAE603A46},36098.6167073999,40987343.152759
6153,LINCOLN,BOROUGH,Lincoln Borough,Steel Rivers,South Allegheny,18,43408,MV,3289.41967773,5.13971853,881,003315,9,Mon-Valley,South,Mon Valley,1977,{4639BF1B-229B-4271-AD5B-D100075B515C},64698.2408286929,139775221.223573
6942,ELIZABETH,TOWNSHIP,Elizabeth Township,South Hills Area,Elizabeth Forward,18,23000,MV,14758.37402343,23.05995368,908,003180,9,Mon-Valley,South,Mon Valley,1981,{3E063B53-3C78-4DE5-B241-A4FA36D7E42C},151414.707913373,645205266.809279
6959,ELIZABETH,BOROUGH,Elizabeth Borough,Steel Rivers,Elizabeth Forward,18,22992,MV,251.57983398,0.39309343,825,003180,9,Mon-Valley,South,Mon Valley,1980,{543A93AA-4E57-4DFD-AE95-38D1E2B3F4F6},17701.7931454841,11616505.6909742
6983,WEST ELIZABETH,BOROUGH,West Elizabeth Borough,Steel Rivers,West Jefferson Hills,18,82848,MV,146.38269042,0.22872297,862,003600,9,Mon-Valley,South,Mon Valley,1964,{11F628CF-AF36-4290-A69B-6D2CE9BA5133},13736.2095252055,6823386.5691648
7372,SOUTH PARK,TOWNSHIP,South Park Township,South Hills Area,South Park,20,6064,SH,7491.74658203,11.70585441,945,003045,5,South Hills Regional,South,South,1962,{0C8E0AF1-E6D5-4E60-8390-621671FBF39C},72784.4317011929,260282036.432481
9365,WEST MIFFLIN,BOROUGH,West Mifflin Borough,South Hills Area,West Mifflin Area,18,83512,MV,1510.90808105,2.36079382,870,003370,9,Mon-Valley,South,Mon Valley,1964,{F4C42407-4E39-486B-B3D5-F65FFFDFEB4E},140005.627786615,-404299397.075724
9400,MOUNT OLIVER,BOROUGH,Mount Oliver Borough,South Hills Area,City of Pittsburgh,14,51744,PGH,215.67382812,0.33699032,839,003365,0,City of Pittsburgh,City,Pittsburgh,1950,{0CE53D0A-2C0E-4BEA-B562-9F01E89FB1E5},13569.5665190313,9459339.20897971
9428,WHITAKER,BOROUGH,Whitaker Borough,Steel Rivers,West Mifflin Area,18,84440,MV,211.78500366,0.33091405,865,003620,8,Mon-Valley,South,Mon Valley,1955,{39EC5992-EED1-4A0B-84DE-5054E3646202},16936.7895488593,9115152.03692428
10241,HOMESTEAD,BOROUGH,Homestead Borough,Steel Rivers,Steel Valley,14,35424,MV,417.5508728,0.65242326,834,003270,11,Mon-Valley,South,Mon Valley,1954,{5DE92C20-A2E7-42E5-B788-F08EA7A653EC},23141.158631064,17876247.4349997
10640,MUNHALL,BOROUGH,Munhall Borough,Steel Rivers,Steel Valley,18,52320,MV,1510.90808105,2.36079382,840,003370,11,Mon-Valley,South,Mon Valley,1955,{A37E6729-B290-450C-BADD-66873E71431D},56621.8169356227,-65838615.7479216
10659,WEST HOMESTEAD,BOROUGH,West Homestead Borough,Steel Rivers,Steel Valley,18,83200,MV,643.7578125,1.00587153,863,003605,11,Mon-Valley,South,Mon Valley,1954,{DB5F4536-7F87-4C7A-BDD4-A8C07516C457},37019.875353605,28231412.8362284
11467,GREEN TREE,BOROUGH,Green Tree Borough,Char-West,Keystone Oaks,14,31256,SH,1328.24096679,2.07537651,831,003240,12,Southwest Regional,South,South,1956,{B973BCB4-F77C-42AA-972B-72EFD5E72D33},35846.3584839058,57843255.6117376
11861,DORMONT,BOROUGH,Dormont Borough,South Hills Area,Keystone Oaks,18,19576,SH,490.77185058,0.76683109,819,003135,12,South Hills Regional,South,South,1953,{E4DCA2C5-3ACE-4208-9C4C-357B10C894AB},23640.115521471,21191562.8832898
11882,BALDWIN,TOWNSHIP,Baldwin Township,South Hills Area,Baldwin-Whitehall,18,3932,SH,315.47595214,0.49293124,902,003020,6,South Hills Regional,South,South,1959,{E1C03870-63BA-4FB3-A242-C3004EF6C59E},29629.2798224776,14113227.4939756
12691,BRENTWOOD,BOROUGH,Brentwood Borough,South Hills Area,Brentwood Borough,18,8416,SH,944.37341308,1.47558343,810,003075,6,South Hills Regional,South,South,1956,{3A5C3C99-1AF3-4A22-82DC-2C06A754F914},30221.1680828201,40389154.5352097
13439,BALDWIN,BOROUGH,Baldwin Borough,South Hills Area,Baldwin-Whitehall,18,3928,SH,3730.4074707,5.8287611,877,003020,6,South Hills Regional,South,South,1960,{31AF7280-38D9-4FA7-BCC2-AFA786EB1598},140146.112080981,163813456.387703
13848,WHITEHALL,BOROUGH,Whitehall Borough,South Hills Area,Baldwin-Whitehall,18,84512,SH,2110.15917968,3.29712343,874,003625,6,South Hills Regional,South,South,1957,{D35D0B16-93D5-4B50-B594-C91640658AC1},64705.3125304555,92667606.3968819
13871,MOUNT LEBANON,TOWNSHIP,Mount Lebanon Township,South Hills Area,Mt. Lebanon,18,51696,SH,3891.8540039,6.08102178,926,003360,5,South Hills Regional,South,South,1963,{54EFC8A3-442F-4A11-9F01-7EEC585A33FD},85835.110696282,169512735.315863
